os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_20000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,os_20000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_20000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q,sloan_20000_iters_eps_q
0.0010372658000008528,0.0005160708999980557,0.0001023656666667705,2.48386666665823e-05,1.208838333321971e-06,6.269500000266603e-07,1.0259999999595593e-07,1.979999997292481e-08,9.029751666567165e-05,3.0323299998968878e-05,1.016733333436548e-05,0.0,1.7278133333353818e-05,8.166766666262149e-07,3.6550000026558394e-08,0.0
0.001036981733333775,0.0005158721999976024,0.00010233666666792374,2.4831333330865846e-05,1.2092566666899174e-06,6.27366666672291e-07,1.0266666666813862e-07,1.986666670061865e-08,9.046363333098384e-05,3.0344733332299256e-05,1.0160666667147211e-05,0.0,1.7278666666675768e-05,8.16779999968098e-07,3.6566666639092915e-08,0.0
0.0010366876666676461,0.000515663499998098,0.00010229766666824958,2.48213333318148e-05,1.2096750000023526e-06,6.277833333734328e-07,1.0273333334032131e-07,1.986666670061865e-08,9.061974999902134e-05,3.037616666468068e-05,1.0163999998979989e-05,0.0,1.727919999999772e-05,8.168833333099812e-07,3.658333330713859e-08,0.0
0.0010363836000006899,0.0005154447999977663,0.00010224866666774801,2.4810666667818282e-05,1.210093333370299e-06,6.282000000190635e-07,1.02800000012504e-07,1.986666670061865e-08,9.076586666623143e-05,3.041759999788951e-05,1.0177333333416527e-05,0.0,1.727973333331967e-05,8.169866666518644e-07,3.659999997518426e-08,0.0
0.0010360728666682917,0.0005152194333319926,0.00010222766666956318,2.4800666666990878e-05,1.210578333354917e-06,6.286833333368769e-07,1.0281666668054967e-07,1.986666670061865e-08,9.090531666622326e-05,3.0465699996540252e-05,1.0163999998979989e-05,0.0,1.7280199999969437e-05,8.171566666659302e-07,3.6566666639092915e-08,0.0
0.0010357554666686752,0.0005149873999990007,0.00010220000000238372,2.4792000001383485e-05,1.2110633333395349e-06,6.291666666546902e-07,1.028333332930842e-07,1.98666666451075e-08,9.103810000077317e-05,3.052046666418562e-05,1.0157333333538077e-05,0.0,1.7280666666674716e-05,8.173266666244849e-07,3.653333330300157e-08,0.0
0.001035428066666455,0.000514745366663405,0.0001021623333326005,2.4788666665997994e-05,1.2116149999963355e-06,6.297166667001974e-07,1.0291666663331256e-07,1.993333331729019e-08,9.116088333094297e-05,3.058523333265839e-05,1.0160666668923568e-05,0.0,1.72810666666523e-05,8.175633333107335e-07,3.6566666694604066e-08,0.0
0.001035091333333682,0.0005144939999972564,0.00010211533333404077,2.4779333333668774e-05,1.2121666667086473e-06,6.302666666901935e-07,1.0299999997354092e-07,1.993333331729019e-08,9.127433333233625e-05,3.0659333331684024e-05,1.0173333334861923e-05,0.0,1.7281466666685397e-05,8.17799999996982e-07,3.660000003069541e-08,0.0
0.001034746600000247,0.0005144044999969566,0.00010209300000063593,2.4768666666119543e-05,1.2127849999821194e-06,6.303099999716011e-07,1.0304999997767794e-07,1.993333326177904e-08,9.137978333306762e-05,3.0572499998271496e-05,1.0159833335521284e-05,0.0,1.728180000004631e-05,8.175333333082513e-07,3.658333330713859e-08,0.0
0.0010343958666663156,0.0005143089999961603,0.00010206466666673464,2.4761999998901274e-05,1.2134033333111027e-06,6.30353333364031e-07,1.0309999998181496e-07,1.9999999989472883e-08,9.147923333152619e-05,3.049166666535541e-05,1.0152333334900732e-05,0.0,1.7282133333351712e-05,8.172666666750317e-07,3.6566666639092915e-08,0.0
